mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
2.9498214721679688,0.020692530473097118,0.3406221071879069,0.022811376400102567,1.0,200,4,0.1,0.8,"{'model__subsample': 1.0, 'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.7890895285043084,0.7882342657271482,0.7914578044923841,0.7895938662412801,0.0013634681165921845,1,0.8457847933037187,0.8481924488156285,0.8478206387388612,0.8472659602860695,0.001058285533461539
4.974744160970052,0.34627305199190445,0.6427136262257894,0.0074648961980526675,1.0,300,4,0.05,1.0,"{'model__subsample': 1.0, 'model__n_estimators': 300, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.7888610226201326,0.7873143850267191,0.7915932319022483,0.7892562131830333,0.0017690419877833608,2,0.8393600517087907,0.84204149971904,0.8411628560211617,0.8408548024829975,0.0011161581711982952
4.853875557581584,0.27731439651302386,0.3421336015065511,0.02595467885773385,0.8,300,3,0.03,0.8,"{'model__subsample': 0.8, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.7882382664464095,0.7872324614248247,0.7921977106752822,0.7892228128488389,0.0021432722246904875,3,0.8173986477457555,0.819219876230021,0.818431846290228,0.8183501234220015,0.0007457556652453709
5.462888717651367,0.13415182039569315,0.41573301951090497,0.06369576715486973,0.8,300,4,0.03,0.8,"{'model__subsample': 0.8, 'model__n_estimators': 300, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.788665686627255,0.7871170749602139,0.7916394009343835,0.7891407208406175,0.0018765395780639866,4,0.8333503635402516,0.8349460571953004,0.8355417021813087,0.8346127076389536,0.0009251424052490462
3.4137771129608154,0.16329979585020113,0.31967751185099286,0.011241090984877293,1.0,300,3,0.1,1.0,"{'model__subsample': 1.0, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.7885267630860867,0.7872926564920388,0.7915513770578692,0.7891235988786649,0.0017891031155178204,5,0.8329975539277739,0.8351538363597572,0.833927969329348,0.8340264532056264,0.0008830488046289972
2.2344234784444175,0.20544516517134828,0.30224037170410156,0.028995139556149643,1.0,100,5,0.03,1.0,"{'model__subsample': 1.0, 'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.7866158109815189,0.7897946095977242,0.7909338309581465,0.7891147505124633,0.0018271982945660687,6,0.8220441381988388,0.8243797044144774,0.8240668283269996,0.8234968903134385,0.0010351616271173883
3.763172149658203,0.13192300690805076,0.3729744752248128,0.02511897257648989,1.0,300,3,0.05,1.0,"{'model__subsample': 1.0, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.7882334931861217,0.7880179325222424,0.7902809308449099,0.7888441188510914,0.0010197836793943837,7,0.8227015872520571,0.8247725292795819,0.8219471876733798,0.8231404347350062,0.001194453608113276
3.534034013748169,0.16752299467310852,0.21836233139038086,0.035868722862793675,1.0,300,4,0.03,0.8,"{'model__subsample': 1.0, 'model__n_estimators': 300, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.787453501747788,0.7877121833437077,0.7908965463948605,0.7886874104954521,0.0015656606930319953,8,0.8296803408163675,0.8303550810445604,0.8292902540700058,0.8297752253103111,0.0004398609036411165
2.398195823033651,0.16741271475259734,0.2810366153717041,0.034982604339024614,0.8,100,5,0.05,0.8,"{'model__subsample': 0.8, 'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.7874264839127342,0.7874975245952369,0.7908092251333994,0.7885777445471235,0.0015781615675287467,9,0.8352814813142547,0.8362364508867586,0.8353606256853321,0.8356261859621151,0.00043273041381123163
4.257388591766357,0.7147488747764742,0.350494384765625,0.040858788377602887,0.8,200,4,0.03,1.0,"{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.7881285733795209,0.7866148890591187,0.7905080856349328,0.7884171826911909,0.0016024390566819478,10,0.8248615769547412,0.826175585677489,0.826623532913502,0.8258868985152441,0.0007477198264889492
