label,precision,recall,f1-score,support
0,0.875893623105519,0.659631743297082,0.7525336281555187,9287.0
1,0.6987515486514819,0.8941463414634147,0.7844647729096453,8200.0
accuracy,0.7696002744896209,0.7696002744896209,0.7696002744896209,0.7696002744896209
macro avg,0.7873225858785005,0.7768890423802484,0.768499200532582,17487.0
weighted avg,0.7928282024774463,0.7696002744896209,0.7675067731766109,17487.0
