model,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.7696002744896209,0.6987515486514819,0.8941463414634147,0.7844647729096453,0.790584648879761
gradient_boosting,0.7695430891519415,0.6987986270022883,0.8937804878048781,0.784353595890411,0.7891172291716456
random_forest,0.7586778749928519,0.6988409272581935,0.8529268292682927,0.7682337434094904,0.78812527083492
knn,0.6978326757019501,0.6609271523178808,0.7302439024390244,0.6938586326767091,0.7433128855704406
decision_tree,0.6576885686509979,0.6360285082329811,0.631219512195122,0.6336148855429061,0.6561395288982501
